"","position","point_rate","steal_rate","block_rate","rebound_rate","foul_rate","race","matching_refs","time","team","opponent","majority_match"
"6620","G",15.7170923379175,6.28683693516699,0,1.57170923379175,1.57170923379175,"Black",0,25.45,"WAS","ATL",0
"6621","G",6.5825562260011,0,0,0,4.38837081733406,"White",3,18.23,"WAS","ATL",1
"6622","G",18.2410423452769,2.60586319218241,5.21172638436482,2.60586319218241,2.60586319218241,"Black",0,15.35,"WAS","ATL",0
"6623","G",5.71973307912297,0,0,0,5.71973307912297,"White",3,20.98,"WAS","ATL",1
"6624","F",21.6867469879518,0,2.40963855421687,19.2771084337349,4.81927710843373,"Black",0,16.6,"WAS","ATL",0
"6625","F",0,0,3.46020761245675,8.65051903114187,8.65051903114187,"White",3,23.12,"WAS","ATL",1
"6626","C",17.4907500840901,0,0,10.7635385132862,4.03632694248234,"White",3,29.73,"WAS","ATL",1
"6627","F",0,3.79867046533713,0,11.3960113960114,0,"Black",0,10.53,"WAS","ATL",0
"6628","F",31.1647837943124,3.11647837943124,1.55823918971562,4.67471756914686,0,"Black",0,25.67,"WAS","ATL",0
"6629","F",22.3236935565703,5.07356671740233,0,7.10299340436327,2.02942668696093,"Black",0,39.42,"CON","CHI",0
"6630","C",17.4741858617951,1.58856235107228,1.58856235107228,7.9428117553614,3.17712470214456,"Black",0,25.18,"CON","CHI",0
"6631","G-F",5.4421768707483,2.72108843537415,0,2.72108843537415,8.16326530612245,"Black",0,14.7,"CON","CHI",0
"6632","F",20.488573680063,1.57604412923562,0,14.1843971631206,1.57604412923562,"Black",0,25.38,"CON","CHI",0
"6633","G",6.61813368630046,1.32362673726009,0,1.32362673726009,3.97088021178028,"White",3,30.22,"CON","CHI",1
"6634","F",24.9322493224932,2.1680216802168,0,9.75609756097561,2.1680216802168,"Black",0,36.9,"CON","CHI",0
"6635","G",0,0,0,2.7063599458728,10.8254397834912,"Black",0,14.78,"CON","CHI",0
"6636","G",16.6753517457009,0,0,8.33767587285044,2.08441896821261,"Black",0,38.38,"CON","CHI",0
"6637","F",28.4210526315789,0,0,5.26315789473684,1.05263157894737,"Black",0,38,"CHI","CON",0
"6638","G",13.5192226446979,5.06970849176172,0,3.37980566117448,5.06970849176172,"Black",0,23.67,"CHI","CON",0
"6639","G",18.8790560471976,2.3598820058997,1.17994100294985,9.43952802359882,1.17994100294985,"White",3,33.9,"CHI","CON",1
"6640","F",10.6157112526539,1.06157112526539,1.06157112526539,3.18471337579618,1.06157112526539,"White",3,37.68,"CHI","CON",1
"6641","G",18.018018018018,0,0,7.20720720720721,0,"White",3,11.1,"CHI","CON",1
"6642","C",12.3013839056894,1.02511532547412,3.07534597642235,10.2511532547412,3.07534597642235,"Black",0,39.02,"CHI","CON",0
"6643","F",12.0481927710843,3.01204819277108,0,0,9.03614457831325,"Black",0,13.28,"CHI","CON",0
"6644","G",21.4698596201486,3.30305532617671,0,1.65152766308836,0,"White",3,24.22,"CHI","CON",1
"6645","G",0,0,0,2.34329232571763,9.37316930287053,"Black",2,17.07,"WAS","ATL",1
"6646","G",7.94326241134752,0,1.13475177304965,5.67375886524823,2.26950354609929,"Black",2,35.25,"WAS","ATL",1
"6647","F",28.5865537321334,2.11752249867655,0,5.29380624669137,4.2350449973531,"Black",2,37.78,"WAS","ATL",1
"6648","F-C",0,0,0,8.96860986547085,8.96860986547085,"Black",2,13.38,"WAS","ATL",1
"6649","G",23.1578947368421,0,0,2.10526315789474,2.10526315789474,"Black",2,19,"WAS","ATL",1
"6650","G",10.762331838565,0,0,0,3.58744394618834,"Other",0,11.15,"WAS","ATL",0
"6651","F",20.1706749418154,1.55159038013964,1.55159038013964,9.30954228083786,1.55159038013964,"White",1,25.78,"WAS","ATL",0
"6652","F",10.4058272632674,2.08116545265349,0,8.32466181061394,6.24349635796046,"Black",2,19.22,"WAS","ATL",1
"6653","C",16.8618266978923,3.74707259953162,0,13.1147540983607,3.74707259953162,"Black",2,21.35,"WAS","ATL",1
"6654","F-G",17.5219023779725,2.50312891113892,0,12.5156445556946,2.50312891113892,"Black",2,15.98,"ATL","WAS",1
"6655","G",18.2061579651941,0,0,8.56760374832664,2.14190093708166,"Black",2,37.35,"ATL","WAS",1
"6656","C",21.5873015873016,0,0,6.34920634920635,3.80952380952381,"Black",2,31.5,"ATL","WAS",1
"6657","F",22.7642276422764,2.1680216802168,1.0840108401084,13.0081300813008,2.1680216802168,"Black",2,36.9,"ATL","WAS",1
"6658","F",7.55429650613787,0,0,10.0723953415172,3.77714825306893,"Black",2,31.77,"ATL","WAS",1
"6659","G",8.31024930747922,1.38504155124654,0,4.15512465373961,4.15512465373961,"Black",2,28.88,"ATL","WAS",1
"6660","F",14.3540669856459,0,0,14.3540669856459,0,"Black",2,16.72,"ATL","WAS",1
"6661","G",29.0909090909091,1.21212121212121,1.21212121212121,4.84848484848485,7.27272727272727,"Black",2,33,"ATL","MIN",1
"6662","F",22.8353948620362,1.2686330478909,0,2.53726609578179,2.53726609578179,"Black",2,31.53,"ATL","MIN",1
"6663","C",0,5.26315789473684,0,5.26315789473684,0,"Black",2,15.2,"ATL","MIN",1
"6664","C",23.8095238095238,2.97619047619048,1.48809523809524,8.92857142857143,5.95238095238095,"Black",2,26.88,"ATL","MIN",1
"6665","F",5.16628995802389,1.29157248950597,0,7.74943493703584,0,"Black",2,30.97,"ATL","MIN",1
"6666","G",17.2413793103448,0,0,0,4.31034482758621,"White",1,9.28,"ATL","MIN",0
"6667","G",13.926499032882,1.54738878143133,0,7.73694390715667,4.642166344294,"Black",2,25.85,"ATL","MIN",1
"6668","G",15.7402852926709,5.9026069847516,0,3.93507132316773,7.87014264633546,"Black",2,20.33,"ATL","MIN",1
"6669","F",11.5107913669065,0,5.75539568345324,17.2661870503597,11.5107913669065,"Black",2,6.95,"ATL","MIN",1
"6670","F",5.75953923686105,0,1.43988480921526,10.0791936645068,4.31965442764579,"White",1,27.78,"MIN","ATL",0
"6671","F",12.3552123552124,0,0,9.26640926640927,6.17760617760618,"Black",2,12.95,"MIN","ATL",1
"6672","G",13.3779264214047,0,0,4.45930880713489,8.91861761426979,"White",1,8.97,"MIN","ATL",0
"6673","G",20.6825232678387,0,0,8.27300930713547,4.13650465356774,"Black",2,9.67,"MIN","ATL",1
"6674","C",17.6795580110497,0,2.94659300184162,20.6261510128913,5.89318600368324,"Black",2,27.15,"MIN","ATL",1
"6675","F",28.393966282165,3.54924578527063,0,7.09849157054126,14.1969831410825,"White",1,11.27,"MIN","ATL",0
"6676","G",13.4556574923547,0,1.22324159021407,2.44648318042813,4.89296636085627,"Black",2,32.7,"MIN","ATL",1
"6677","F",30.6278713629403,1.22511485451761,0,2.45022970903522,0,"Black",2,32.65,"MIN","ATL",1
"6678","G",22.6262626262626,1.61616161616162,0,4.84848484848485,4.84848484848485,"Black",2,24.75,"MIN","ATL",1
"6679","F",19.8019801980198,3.3003300330033,0,6.6006600660066,6.6006600660066,"White",1,12.12,"MIN","ATL",0
"6680","G",16.597510373444,0,0,0,3.3195020746888,"Black",0,24.1,"CON","LAS",0
"6681","C",16.1569532602424,0,2.30813618003462,9.23254472013849,4.61627236006924,"Black",0,17.33,"CON","LAS",0
"6682","G",4.09556313993174,2.73037542662116,0,5.46075085324232,4.09556313993174,"White",3,29.3,"CON","LAS",1
"6683","F",7.59878419452887,1.51975683890577,3.03951367781155,3.03951367781155,3.03951367781155,"White",3,26.32,"CON","LAS",1
